age,sexe,taux,situationFamiliale,nbEnfantsAcharge,DeuxiemeVoiture
21,F,1396,Celibataire,0,False
35,M,223,Celibataire,0,False
48,M,401,Celibataire,0,False
26,F,420,En Couple,3,True
80,M,530,En Couple,3,False
27,F,153,En Couple,2,False
59,F,572,En Couple,2,False
43,F,431,Celibataire,0,False
64,M,559,Celibataire,0,False
22,M,154,En Couple,1,False
79,F,981,En Couple,2,False
55,M,588,Celibataire,0,False
19,F,212,Celibataire,0,False
34,F,1112,En Couple,0,False
60,M,524,En Couple,0,True
22,M,411,En Couple,3,True
58,M,1192,En Couple,0,False
54,F,452,En Couple,3,True
35,M,589,Celibataire,0,False
59,M,748,En Couple,0,True
