marque,nom,puissance,longueur,nbPlaces,nbPortes,couleur,occasion,prix,Type,predicted
Volvo,S80 T6,272,tres longue,5,5,blanc,False,50500,Berline,0.0
Volvo,S80 T6,272,tres longue,5,5,noir,False,50500,Berline,0.0
Volvo,S80 T6,272,tres longue,5,5,rouge,False,50500,Berline,0.0
Volvo,S80 T6,272,tres longue,5,5,gris,True,35350,Berline,0.0
Volvo,S80 T6,272,tres longue,5,5,bleu,True,35350,Berline,0.0
Volvo,S80 T6,272,tres longue,5,5,gris,False,50500,Berline,0.0
Volvo,S80 T6,272,tres longue,5,5,bleu,False,50500,Berline,0.0
Volvo,S80 T6,272,tres longue,5,5,rouge,True,35350,Berline,0.0
Volvo,S80 T6,272,tres longue,5,5,blanc,True,35350,Berline,0.0
Volvo,S80 T6,272,tres longue,5,5,noir,True,35350,Berline,0.0
Volkswagen,Touran 2.0 FSI,150,longue,7,5,rouge,False,27340,Monospace,1.0
Volkswagen,Touran 2.0 FSI,150,longue,7,5,gris,True,19138,Monospace,1.0
Volkswagen,Touran 2.0 FSI,150,longue,7,5,bleu,True,19138,Monospace,1.0
Volkswagen,Touran 2.0 FSI,150,longue,7,5,gris,False,27340,Monospace,1.0
Volkswagen,Touran 2.0 FSI,150,longue,7,5,bleu,False,27340,Monospace,1.0
Volkswagen,Touran 2.0 FSI,150,longue,7,5,blanc,True,19138,Monospace,1.0
Volkswagen,Touran 2.0 FSI,150,longue,7,5,noir,True,19138,Monospace,1.0
Volkswagen,Touran 2.0 FSI,150,longue,7,5,rouge,True,19138,Monospace,1.0
Volkswagen,Touran 2.0 FSI,150,longue,7,5,blanc,False,27340,Monospace,1.0
Volkswagen,Touran 2.0 FSI,150,longue,7,5,noir,False,27340,Monospace,1.0
Volkswagen,Polo 1.2 6V,55,courte,5,3,blanc,True,8540,Compacte,4.0
Volkswagen,Polo 1.2 6V,55,courte,5,3,blanc,False,12200,Compacte,4.0
Volkswagen,Polo 1.2 6V,55,courte,5,3,noir,False,12200,Compacte,4.0
Volkswagen,Polo 1.2 6V,55,courte,5,3,noir,True,8540,Compacte,4.0
Volkswagen,Polo 1.2 6V,55,courte,5,3,bleu,True,8540,Compacte,4.0
Volkswagen,Polo 1.2 6V,55,courte,5,3,bleu,False,12200,Compacte,4.0
Volkswagen,Polo 1.2 6V,55,courte,5,3,rouge,True,8540,Compacte,4.0
Volkswagen,Polo 1.2 6V,55,courte,5,3,rouge,False,12200,Compacte,4.0
Volkswagen,Polo 1.2 6V,55,courte,5,3,gris,False,12200,Compacte,4.0
Volkswagen,Polo 1.2 6V,55,courte,5,3,gris,True,8540,Compacte,4.0
Volkswagen,New Beatle 1.8,110,moyenne,5,5,blanc,True,18641,Citadine,2.0
Volkswagen,New Beatle 1.8,110,moyenne,5,5,noir,True,18641,Citadine,2.0
Volkswagen,New Beatle 1.8,110,moyenne,5,5,rouge,True,18641,Citadine,2.0
Volkswagen,New Beatle 1.8,110,moyenne,5,5,gris,True,18641,Citadine,2.0
Volkswagen,New Beatle 1.8,110,moyenne,5,5,bleu,True,18641,Citadine,2.0
Volkswagen,New Beatle 1.8,110,moyenne,5,5,rouge,False,26630,Citadine,2.0
Volkswagen,New Beatle 1.8,110,moyenne,5,5,gris,False,26630,Citadine,2.0
Volkswagen,New Beatle 1.8,110,moyenne,5,5,bleu,False,26630,Citadine,2.0
Volkswagen,New Beatle 1.8,110,moyenne,5,5,blanc,False,26630,Citadine,2.0
Volkswagen,New Beatle 1.8,110,moyenne,5,5,noir,False,26630,Citadine,2.0
Volkswagen,Golf 2.0 FSI,150,moyenne,5,5,rouge,True,16029,Berline,2.0
Volkswagen,Golf 2.0 FSI,150,moyenne,5,5,gris,True,16029,Berline,2.0
Volkswagen,Golf 2.0 FSI,150,moyenne,5,5,bleu,True,16029,Berline,2.0
